antecedents,consequents,lift
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",REGENCY CAKESTAND 3 TIER,6.275740429794981
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,19.92276204258838
"JUMBO BAG PINK POLKADOT, JUMBO BAG STRAWBERRY",JUMBO BAG RED RETROSPOT,9.171126279863481
"JUMBO BAG STRAWBERRY, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,11.923171211944737
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,8.92422131147541
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,9.068149466192171
"JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,10.785420645796188
"JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,8.560978260869565
"LUNCH BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,9.713332735385787
"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,9.238194844927524
"LUNCH BAG APPLE DESIGN, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,9.172476708074534
"LUNCH BAG APPLE DESIGN, LUNCH BAG  BLACK SKULL.",LUNCH BAG SUKI DESIGN ,13.012597330367074
"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,9.884516265314744
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,10.72635150176757
"LUNCH BAG PINK POLKADOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,10.749803669593774
"LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,12.293169299223628
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,10.077257708336791
"LUNCH BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,9.722006639675465
"LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,8.95417594901226
"LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG SPACEBOY DESIGN ,9.935463086731996
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,10.234667696910261
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG  BLACK SKULL.,10.046959633580657
"LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG SUKI DESIGN ,10.919062880635385
"LUNCH BAG SUKI DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,10.459880433517087
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,10.072721068538558
"LUNCH BAG WOODLAND, LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,10.836068997201686
"LUNCH BAG WOODLAND, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,9.537928281830977
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,10.374223004165787
"LUNCH BAG PINK POLKADOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,9.550787106446776
"LUNCH BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,11.858582626779715
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG  BLACK SKULL.,10.799981351208544
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,10.71467116184172
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,10.923869405442147
"LUNCH BAG SUKI DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,10.804440370923816
"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,10.968433890522993
"LUNCH BAG WOODLAND, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,11.358168991849736
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG  BLACK SKULL.,9.69444150430301
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,8.846332729055842
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,9.864942965779468
"LUNCH BAG SUKI DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,8.865100457106411
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,9.35721247991289
"LUNCH BAG WOODLAND, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,9.53684643886373
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG SUKI DESIGN ,10.800166053722638
"LUNCH BAG SUKI DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG SPACEBOY DESIGN ,10.043524741890463
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,10.206077614822862
"LUNCH BAG WOODLAND, LUNCH BAG  BLACK SKULL.",LUNCH BAG SPACEBOY DESIGN ,11.351550012250755
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG  BLACK SKULL.",LUNCH BAG WOODLAND,11.354066985645934
"LUNCH BAG WOODLAND, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG  BLACK SKULL.,9.134206449795803
"LUNCH BAG WOODLAND, LUNCH BAG  BLACK SKULL.",LUNCH BAG SUKI DESIGN ,11.049587598131769
"LUNCH BAG WOODLAND, LUNCH BAG SUKI DESIGN ",LUNCH BAG  BLACK SKULL.,10.67286756418672
"LUNCH BAG PINK POLKADOT, LUNCH BAG APPLE DESIGN",LUNCH BAG RED RETROSPOT,9.62520882415935
"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG SPACEBOY DESIGN ,9.450870601459155
"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,9.097054698457223
"LUNCH BAG APPLE DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG SUKI DESIGN ,11.552327493273017
"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,8.712853692201518
"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND",LUNCH BAG RED RETROSPOT,9.366813956396683
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG CARS BLUE,10.234053418524281
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",LUNCH BAG RED RETROSPOT,9.401188415494495
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG PINK POLKADOT,12.125826106126201
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",LUNCH BAG SPACEBOY DESIGN ,9.751927106543155
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG CARS BLUE,11.604650769204731
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG PINK POLKADOT,11.301831487743836
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG CARS BLUE,11.038990480817052
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN ",LUNCH BAG PINK POLKADOT,10.514175548762015
"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,11.82426396864461
"LUNCH BAG WOODLAND, LUNCH BAG CARS BLUE",LUNCH BAG PINK POLKADOT,10.777551613841233
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG SPACEBOY DESIGN ,9.624268514753462
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG CARS BLUE,9.653752200070048
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,8.647638639576813
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG SUKI DESIGN ,10.667077927439998
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG CARS BLUE,10.103712905452037
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,8.743597706641184
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,10.190256241064557
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG WOODLAND,11.349344978165938
"LUNCH BAG WOODLAND, LUNCH BAG CARS BLUE",LUNCH BAG RED RETROSPOT,9.14167324388319
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG CARS BLUE",LUNCH BAG SUKI DESIGN ,10.755138559752382
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG SUKI DESIGN ",LUNCH BAG CARS BLUE,10.353412862729632
"LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN ",LUNCH BAG SPACEBOY DESIGN ,9.81139831828091
"LUNCH BAG WOODLAND, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG CARS BLUE,9.994765227615469
"LUNCH BAG WOODLAND, LUNCH BAG CARS BLUE",LUNCH BAG SPACEBOY DESIGN ,10.932997069810098
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG CARS BLUE",LUNCH BAG WOODLAND,12.195907928388745
"LUNCH BAG RED RETROSPOT, LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG SPACEBOY DESIGN ,12.990343670977294
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,8.649085770116546
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN ,13.863932406266501
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG WOODLAND,11.87134831460674
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,9.840430213075635
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG PINK POLKADOT,10.698661612734803
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,10.12800582948749
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG PINK POLKADOT,11.147067669172932
"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND",LUNCH BAG RED RETROSPOT,10.723280206258059
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG PINK POLKADOT,10.895146146461503
"LUNCH BAG PINK POLKADOT, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN ,11.796908817762843
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG WOODLAND,12.31607629427793
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN ",LUNCH BAG SPACEBOY DESIGN ,9.54527215474584
"LUNCH BAG SPACEBOY DESIGN , LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,8.716660093989287
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN ,11.176276986657443
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG WOODLAND,12.485653104925053
"LUNCH BAG WOODLAND, LUNCH BAG SPACEBOY DESIGN ",LUNCH BAG RED RETROSPOT,9.16581550494594
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG SUKI DESIGN ,10.56884863088831
"LUNCH BAG WOODLAND, LUNCH BAG SUKI DESIGN ",LUNCH BAG RED RETROSPOT,10.404495518643657
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,20.2977511603781
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,21.03023295649195
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",REGENCY CAKESTAND 3 TIER,6.614043215695992
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM ",POPPY'S PLAYHOUSE KITCHEN,48.596531791907516
"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE LIVINGROOM ,53.85189351331083
"POPPY'S PLAYHOUSE LIVINGROOM , POPPY'S PLAYHOUSE KITCHEN",POPPY'S PLAYHOUSE BEDROOM ,50.73523697380042
POPPY'S PLAYHOUSE BEDROOM ,"POPPY'S PLAYHOUSE LIVINGROOM , POPPY'S PLAYHOUSE KITCHEN",50.73523697380042
POPPY'S PLAYHOUSE LIVINGROOM ,"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE KITCHEN",53.851893513310834
POPPY'S PLAYHOUSE KITCHEN,"POPPY'S PLAYHOUSE BEDROOM , POPPY'S PLAYHOUSE LIVINGROOM ",48.596531791907516
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,20.87320505388962
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,24.18779455533408
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,25.53235104224313
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",REGENCY CAKESTAND 3 TIER,6.66869626752187
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",26.495031973631473
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",27.16202227346318
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ","GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",22.9251966873706
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER","REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",22.925196687370597
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",27.16202227346318
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,12.185957452607765
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG CARS BLUE,12.021308918824445
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG RED RETROSPOT,10.68047061634018
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,14.66319561171194
